number,year,monthreal,firmid,bankid,conm,ticker,opacity1,opacity2,opacity3,leverage1,leverage2,leverage3,leverage4,profitability,fgroup,latfirm1,longfirm1,latfirm2,longfirm2,latfirm3,longfirm3,bank,size,monitoring,bgroup,longbank,latbankapproximate
52869,2003,6,29,2,ARCH CHEMICALS INC,ARJ,0.3077466,,991.4,68.723,23.936,1.575,991.4,1.251,3,,,41.134896,-73.4053,,,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
52920,2003,4,32,2,ASHWORTH INC,ASHW,0.1644557,0.3800565,106.892,10.529,8.41,5.143,106.892,6.55,1,33.158137,-117.32646,33.158137,-117.32646,33.158137,-117.32646,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
52596,2003,6,38,2,ADVANCED MEDICAL OPTICS INC,AVO,0.0752815,,534.673,454.579,64.614,3.372,534.673,3.535,2,,,33.762117,-117.81828,33.762117,-117.81828,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
52815,2003,6,40,2,AMVESCAP PLC  -ADR,AVZ,0.0443548,,6916.17,34.065,18.175,1.108,6916.17,-1.513,4,33.794055,-84.38525,,,33.794055,-84.38525,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
52537,2003,3,41,2,AT&T WIRELESS SERVICES INC,AWE,0.3305205,0.5159579,47876,39.3,23.327,2.588,47876,-3.831,5,47.677471,-122.12138,47.677471,-122.12138,47.677471,-122.12138,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
52960,2003,5,43,2,AUTOZONE INC,AZO,0.4583302,0.6845292,3647.85,236.025,38.926,1.022,3647.85,13.382,4,35.146131,-90.0534,35.146131,-90.0534,35.146131,-90.0534,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
52976,2003,3,44,2,AZZ INC,AZZ,0.285696,,124.923,62.188,32.06,1.9,124.923,5.511,1,32.573816,-97.38491,32.738481,-97.38424,32.573816,-97.38491,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
52980,2003,4,45,2,BB&T CORP,BBT,0.0132863,,80444.75,226.641,21.703,,80444.75,1.628,5,36.107037,-80.21918,36.107037,-80.21918,36.107037,-80.21918,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
53086,2003,2,48,2,BEVERLY ENTERPRISES,BEV,0.5799479,,1356.52,318.484,43.707,0.921,1356.52,-2.243,3,,,,,,,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
53177,2003,3,49,2,BRIGHAM EXPLORATION CO,BEXP,0.8476242,,210.67,77.73,35.782,0.799,210.67,3.953,2,32.862876,-96.7904,30.359935,-97.83125,32.862876,-96.7904,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
52986,2003,6,51,2,BJ SERVICES CO,BJS,0.3161725,,2669.72,31.287,18.609,2.111,2669.72,6.021,4,,,29.833326,-95.47644,,,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
53241,2003,6,54,2,BURLINGTON NORTHERN SANTA FE,BNI,0.9303234,,26379,86.256,26.646,0.409,26379,2.813,5,32.873017,-97.34622,32.873017,-97.34622,32.873017,-97.34622,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
53040,2003,1,55,2,BAUSCH & LOMB INC,BOL,0.1785141,0.4308546,2990.8,77.727,27.922,1.496,2990.8,2.896,4,43.156963,-77.60375,43.156963,-77.60375,43.156963,-77.60375,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
53000,2003,5,57,2,BRE PROPERTIES  -CL A,BRE,,,2073.34,137.318,56.42,,2073.34,3.251,4,37.791728,-122.4019,37.791728,-122.4019,37.791728,-122.4019,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
53148,2003,1,59,2,BOSTON PROPERTIES INC,BXP,,,8276.21,222.937,61.213,,8276.21,5.727,5,42.34713,-71.08234,42.34713,-71.08234,42.34713,-71.08234,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
53753,2003,6,62,2,CREDIT ACCEP CORP MICH,CACC,0.0284935,0.0393683,917.541,34.411,12.605,,917.541,2.54,3,42.474234,-83.29078,42.474234,-83.29078,42.474234,-83.29078,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
53418,2003,2,63,2,CASCADE CORP,CAE,0.2450626,,276.97,37.918,22.931,3.009,276.97,7.24,2,,,45.542239,-122.44553,45.542239,-122.44553,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
53328,2003,6,66,2,CSK AUTO CORP,CAO,0.1101658,,1129.47,158.672,45.498,2.927,1129.47,2.894,3,33.505251,-112.0703,33.505251,-112.0703,33.505251,-112.0703,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
53530,2003,6,69,2,CIRCUIT CITY STORES INC,CC,0.1714059,,3623.37,0.541,0.34,2.539,3623.37,-0.887,4,37.622465,-77.61965,37.622465,-77.61965,37.622465,-77.61965,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
53458,2003,5,72,2,CENTRAL GARDEN & PET CO,CENT,0.1181582,,844.977,63.221,31.012,2.619,844.977,3.644,3,37.895695,-122.11785,37.895695,-122.11785,37.895695,-122.11785,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
53472,2003,6,73,2,CERTEGY INC,CEY,0.0493181,,769.069,72.931,24.055,1.201,769.069,11.202,3,34.119177,-84.30292,34.119177,-84.30292,34.119177,-84.30292,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
53485,2003,2,75,2,CHARLOTTE RUSSE HLDG INC,CHIC,0.5168636,,185.31,0,0,1.653,185.31,6.043,1,32.823865,-117.19966,32.823865,-117.19966,32.823865,-117.19966,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
57439,2003,5,77,2,CONE MILLS CORP,CJML,0.431234,,327.342,176.752,48.236,0.907,327.342,0.321,2,36.101385,-79.81425,36.101385,-79.81425,36.101385,-79.81425,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
53614,2003,5,79,2,COMERICA INC.,CMA,0.0063174,,58727,113.291,9.812,,58727,0.981,5,42.331821,-83.04888,42.331821,-83.04888,42.331821,-83.04888,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
53780,2003,4,80,2,CUMULUS MEDIA INC,CMLS,0.0650675,,1374.22,61.246,32.683,2.568,1374.22,-1.079,3,43.046213,-87.9005,33.830054,-84.38472,43.046213,-87.9005,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
53452,2003,6,83,2,CENTERPOINT PROPERTIES TRUST,CNT,,,1338.87,130.616,53.115,,1338.87,2.29,3,41.837716,-87.96041,41.837716,-87.96041,41.837716,-87.96041,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
53740,2003,6,85,2,COX COMMUNICATIONS  -CL A,COX,0.315225,,24551.48,71.651,28.442,0.553,24551.48,0.795,5,32.730641,-83.6793,33.872053,-84.33611,32.730641,-83.6793,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
53460,2003,2,86,2,CENTRAL PARKING CORP,CPC,0.4524926,,1004.37,87.883,36.046,0.747,1004.37,-0.315,3,36.133251,-86.80057,36.133251,-86.80057,36.133251,-86.80057,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
53738,2003,2,100,2,COVENANT TRANSPRT INC  -CL A,CVTI,0.634615,1.052998,336.467,25.749,13.829,0.969,336.467,3.259,2,35.031674,-85.37276,35.031674,-85.37276,35.031674,-85.37276,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
53420,2003,1,101,2,CASELLA WASTE SYS INC  -CL A,CWST,0.5024448,0.8729724,607.199,163.303,50.942,1.07,607.199,0.303,2,43.617302,-72.96325,43.617302,-72.96325,43.617302,-72.96325,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
53362,2003,2,102,2,CALIFORNIA WATER SERVICE GP,CWT,0.8632107,1.232824,855.264,162.702,37.646,0.426,855.264,1.659,3,37.348541,-121.88627,37.348541,-121.88627,37.348541,-121.88627,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
53742,2003,6,103,2,COX RADIO INC  -CL A,CXR,0.0347909,,2278.67,50.412,25.22,1.592,2278.67,2.744,4,33.872053,-84.33611,33.931746,-84.37817,33.872053,-84.33611,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
53983,2003,5,104,2,DYNAMEX INC,DDN,0.0448708,0.2545399,95.541,36.526,20.77,1.287,95.541,7.932,1,32.938774,-96.78543,32.925975,-96.88322,32.938774,-96.78543,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
53903,2003,3,105,2,DEVELOPERS DIVERSIFIED RLTY,DDR,,,3908.87,96.794,38.236,,3908.87,3.169,4,41.472881,-81.52209,41.472881,-81.52209,41.472881,-81.52209,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
56376,2003,2,108,2,QUEST DIAGNOSTICS INC,DGX,0.137379,,4244.04,48.065,26.851,1.425,4244.04,8.877,4,40.853723,-74.05987,40.853723,-74.05987,40.853723,-74.05987,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
57461,2003,2,109,2,DISNEY (WALT) CO,DIS,0.3781546,0.5544135,50006,58.127,27.819,1.061,50006,2.068,5,,,,,,,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
53916,2003,3,110,2,DIAL CORPORATION,DL,0.1731986,,1235.01,210.882,37.671,2.147,1235.01,9.991,3,33.606004,-111.88699,,,33.606004,-111.88699,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
53862,2003,5,113,2,DEVRY INC,DV,0.3331069,0.546639,856.644,69.767,33.853,1.225,856.644,7.138,3,41.880429,-87.97813,41.880429,-87.97813,41.880429,-87.97813,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
53986,2003,4,114,2,DYNEGY INC,DYN,0.5477548,0.6350049,15255,177.765,39.934,1.237,15255,-11.655,5,29.879213,-95.45028,29.755578,-95.36531,29.879213,-95.45028,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
54085,2003,4,116,2,ENGINEERED SUPPORT SYSTEMS,EASI,0.1286405,0.204756,384.902,45.918,21.103,0.78,384.902,9.77,2,38.675784,-90.37463,38.706301,-90.29609,38.675784,-90.37463,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
54065,2003,4,117,2,EMPIRE DISTRICT ELECTRIC CO,EDE,0.8117897,1.191233,1017.5,145.933,47.515,0.758,1017.5,3.005,3,37.09416,-94.50169,37.09416,-94.50169,37.09416,-94.50169,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
54068,2003,1,118,2,ENBRIDGE ENERGY PRTNRS  -LP,EEP,0.7657354,,2942.4,128.517,47.098,0.79,2942.4,3.382,4,46.774593,-92.09206,29.755578,-95.36531,46.774593,-92.09206,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
53363,2003,6,119,2,CALLAWAY GOLF CO,ELY,0.1914197,,791.768,0.261,0.203,3.348,791.768,9.881,3,33.158137,-117.32646,33.158137,-117.32646,33.158137,-117.32646,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
54074,2003,3,121,2,ENERGIZER HOLDINGS INC,ENR,0.2581629,0.4937523,2689,140.299,39.424,1.896,2689,7.181,4,38.6352,-90.18702,38.662302,-90.45363,38.6352,-90.18702,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
54116,2003,5,122,2,EQUITY OFFICE PROPERTIES TR,EOP,,,24935.34,108.148,46.826,,24935.34,1.963,5,41.882582,-87.6376,41.882582,-87.6376,41.882582,-87.6376,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
54032,2003,3,127,2,EDWARDS LIFESCIENCES CORP,EW,0.1906085,,1079.7,54.973,28.462,2.086,1079.7,3.695,3,33.680408,-117.82592,33.680408,-117.82592,33.680408,-117.82592,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
54249,2003,6,131,2,FEDERATED DEPT STORES,FD,0.440466,,14076,68.39,27.728,1.964,14076,4.135,5,39.10441,-84.50774,39.10441,-84.50774,39.10441,-84.50774,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
54319,2003,2,135,2,FLORIDA EAST COAST INDS,FLA,0.8033383,,1027.17,41.175,23.607,3.164,1027.17,5.224,3,29.87131,-81.29464,29.87131,-81.29464,29.87131,-81.29464,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
54312,2003,1,136,2,FLEETWOOD ENTERPRISES,FLE,0.2763378,,925.313,360.413,44.37,1.515,925.313,-7.274,3,33.91355,-117.46052,33.91355,-117.46052,33.91355,-117.46052,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
54376,2003,2,137,2,FRESENIUS MED CARE AG  -ADR,FMS,0.1298696,,7244.72,90,36.275,1.529,7244.72,4.139,5,,,,,,,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
54246,2003,6,140,2,FEDERAL SIGNAL CORP,FSS,0.117535,0.2648072,1188.31,116.07,39.813,,1188.31,3.542,3,41.837716,-87.96041,41.837716,-87.96041,41.837716,-87.96041,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
54196,2003,4,141,2,FMC TECHNOLOGIES INC,FTI,0.2165649,0.485281,1457.3,75.914,17.519,0.96,1457.3,4.948,3,41.886456,-87.62325,29.952354,-95.45065,41.886456,-87.62325,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
54415,2003,3,144,2,GANNETT CO,GCI,0.180969,0.3171811,14292.5,58.602,30.798,1.287,14292.5,8.304,5,,,,,,,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
54445,2003,2,145,2,GENERAL DYNAMICS CORP,GD,0.138212,,13993,57.037,22.04,1.349,13993,7.218,5,38.864669,-77.18781,38.864669,-77.18781,38.864669,-77.18781,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
54426,2003,5,146,2,GAYLORD ENTERTAINMENT CO,GET,0.5103022,,2332.52,59.245,20.181,1.643,2332.52,0.77,4,36.166956,-86.66869,36.166956,-86.66869,36.166956,-86.66869,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
54450,2003,4,147,2,GENERAL GROWTH PPTYS INC,GGP,,,7753.02,,,,7753.02,2.637,5,41.882582,-87.6376,41.882582,-87.6376,41.882582,-87.6376,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
54413,2003,4,151,2,GALYANS TRADING CO INC,GLYN,0.4275354,,386.651,23.14,12.33,1.605,386.651,3.232,2,39.69775,-86.39589,39.69775,-86.39589,39.69775,-86.39589,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
54478,2003,3,152,2,GEORGIA-PACIFIC CORP,GP,0.3737217,0.77967,24545,243.83,46.372,1.08,24545,-0.64,5,33.752856,-84.39013,33.752856,-84.39013,33.752856,-84.39013,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
54470,2003,6,153,2,GENUINE PARTS CO,GPC,0.0842926,0.2053759,4021.49,36.156,19.955,3.353,4021.49,9.026,4,33.87507,-84.46615,33.87507,-84.46615,33.87507,-84.46615,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
57443,2003,3,154,2,GRACE (W R) & CO,GRA,0.225174,0.6306921,2830.7,-22.196,1.321,3.158,2830.7,-0.258,4,39.21536,-76.87823,39.21536,-76.87823,39.21536,-76.87823,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
54526,2003,3,156,2,GOODYEAR TIRE & RUBBER CO,GT,0.3562246,0.8281289,14740.7,821.777,34.074,1.895,14740.7,-9.909,5,,,,,,,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
54543,2003,6,157,2,GRANITE CONSTRUCTION INC,GVA,0.3463639,0.8604092,1038.07,30.098,13.617,1.594,1038.07,5.315,3,36.922902,-121.77224,36.922902,-121.77224,36.922902,-121.77224,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
55360,2003,4,159,2,MANOR CARE INC,HCR,0.6523678,0.9770904,2337.01,71.549,28.823,1.314,2337.01,4.714,4,,,41.658109,-83.52774,41.658109,-83.52774,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
54640,2003,4,161,2,HARRAHS ENTERTAINMENT INC,HET,0.6632858,0.9244597,6380.04,219.073,56.339,0.986,6380.04,4.893,4,,,36.088922,-115.13905,,,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
54747,2003,1,164,2,HOLLYWOOD ENTMT CORP,HLYW,0.5412327,,961.773,136.279,43,0.942,961.773,22.116,3,45.308105,-122.77266,45.308105,-122.77266,45.308105,-122.77266,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
54680,2003,6,165,2,HEALTH NET INC,HNT,0.0574366,,3456.02,30.183,11.542,1.37,3456.02,7.552,4,34.176238,-118.61992,34.176238,-118.61992,34.176238,-118.61992,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
54757,2003,4,166,2,HOOKER FURNITURE CORP,HOFT,0.3203938,0.7362273,176.436,46.622,28.463,5.05,176.436,9.445,1,36.696264,-79.86879,36.696264,-79.86879,36.696264,-79.86879,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
54894,2003,2,173,2,INSTEEL INDUSTRIES,IIIN,0.4021012,0.7708686,128.878,320.511,56.503,0.667,128.878,-1.675,1,36.49376,-80.62336,36.49376,-80.62336,36.49376,-80.62336,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
54893,2003,3,175,2,INSITUFORM TECNOL INC  -CL A,INSU,0.1378665,,501.514,47.254,26.773,2.941,501.514,5.114,2,38.646981,-90.63155,38.646981,-90.63155,38.646981,-90.63155,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
54926,2003,3,178,2,INTL PAPER CO,IP,0.5193009,1.046727,35076,194.082,43.474,1.678,35076,0.439,5,,,,,,,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
57699,2003,5,180,2,INFOUSA INC,IUSA,0.1152447,,386.022,129.231,43.781,0.856,386.022,5.939,2,41.203029,-96.05009,41.203029,-96.05009,41.203029,-96.05009,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
55002,2003,1,181,2,JARDEN CORP,JAH,0.1618914,0.394134,440.746,263.826,57.694,1.802,440.746,7.989,2,,,40.976579,-73.69002,40.976579,-73.69002,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
54997,2003,6,182,2,JAKKS PACIFIC INC,JAKK,0.0252231,0.0813958,514.449,26.773,19.063,5.46,514.449,5.919,2,34.051056,-118.80768,34.051056,-118.80768,34.051056,-118.80768,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
52650,2003,5,183,2,J ALEXANDER CORP,JAX,0.9110324,1.272264,77.59,60.056,32.119,0.456,77.59,4.19,1,36.152607,-86.78927,36.152607,-86.78927,36.152607,-86.78927,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
55028,2003,6,186,2,JONES LANG LASALLE INC,JLL,0.0905765,0.2536096,812.694,70.126,30.652,1.376,812.694,2.293,3,41.886456,-87.62325,41.886456,-87.62325,41.886456,-87.62325,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
55026,2003,6,187,2,JONES APPAREL GROUP INC,JNY,0.0641782,,4018.5,41.167,25.109,2.539,4018.5,9.312,4,40.108943,-74.85548,40.108943,-74.85548,40.108943,-74.85548,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
56887,2003,5,188,2,ST JOE CO,JOE,0.6763129,0.6954053,1217.71,73.218,28.637,,1217.71,7.49,3,30.328539,-81.65101,30.328539,-81.65101,30.328539,-81.65101,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
55008,2003,5,189,2,JEFFERSON-PILOT CORP,JP,,,31678,31.103,3.801,,31678,1.37,5,,,36.071135,-79.77468,,,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
55081,2003,1,198,2,KELLWOOD CO,KWD,0.0826524,,1245.19,50.398,24.35,2.727,1245.19,4.651,3,,,,,,,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
55188,2003,4,200,2,LAFARGE NORTH AMERICA INC,LAF,0.4943527,0.9148093,4641.12,45.128,22.53,1.964,4641.12,4.14,4,38.977109,-77.38527,38.977109,-77.38527,38.977109,-77.38527,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
55220,2003,5,202,2,LENNAR CORP,LEN,,,5939.06,104.891,43.777,,5939.06,10.673,4,25.786634,-80.36151,25.786634,-80.36151,25.786634,-80.36151,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
55184,2003,1,204,2,LABORATORY CP OF AMER HLDGS,LH,0.1099433,,3349,55.174,28.818,2.51,3349,8.08,4,36.072336,-79.4698,36.072336,-79.4698,36.072336,-79.4698,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
55174,2003,2,207,2,LKQ CORP,LKQX,0.2204795,0.3212223,183.745,51.064,29.637,2.294,183.745,6.91,1,41.882937,-87.62874,41.882937,-87.62874,41.882937,-87.62874,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
55155,2003,2,208,2,L-3 COMMUNICATIONS HLDGS INC,LLL,0.0823698,,5700.38,88.508,36.458,2.468,5700.38,4.292,4,40.74618,-73.97759,40.74618,-73.97759,40.74618,-73.97759,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
55284,2003,2,210,2,LOUISIANA-PACIFIC CORP,LPX,0.441019,0.8032121,2708.5,105.887,38.449,2.097,2708.5,0.015,4,45.51854,-122.6755,45.52054,-122.68573,45.51854,-122.6755,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
55255,2003,6,212,2,LIMITED BRANDS INC,LTD,0.204601,0.5135636,7180.22,13.294,9.027,3.274,7180.22,7.933,5,40.039963,-82.87855,40.039963,-82.87855,40.039963,-82.87855,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
55296,2003,3,214,2,LYONDELL CHEMICAL CO,LYO,0.3469661,0.4449345,7482,389.671,55.466,1.801,7482,-3.689,5,29.754728,-95.36216,29.754728,-95.36216,29.754728,-95.36216,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
55357,2003,6,217,2,MANDALAY RESORT GROUP,MBG,0.752589,,4642.76,341.056,65.264,0.928,4642.76,2.666,4,36.088922,-115.13905,36.088922,-115.13905,36.088922,-115.13905,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
55482,2003,1,223,2,MEDTRONIC INC,MDT,0.1261117,0.2324878,12626.9,29.207,18.914,2.409,12626.9,13.201,5,,,45.095674,-93.25336,45.095674,-93.25336,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
55420,2003,5,226,2,MCCORMICK & CO,MKC,0.2454831,0.5157326,2035.9,83.854,29.705,1.224,2035.9,8.858,4,39.543905,-76.67,39.543905,-76.67,39.543905,-76.67,BANK OF AMER NA,6.56E+08,0.3328843,3,-80.66822,35.19292
